n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32
1517,113,23,0,4,0,0,6,6,0,0,2,1,29,11,0,2,23,1,8,6,4,0,0,3,7,5,0,8,181,0,2
1907,128,17,0,2,0,1,0,18,0,0,4,3,0,50,0,3,27,1,8,13,7,1,0,1,20,0,13,10,152,0,2
1038,63,2,5,3,0,0,0,11,0,0,0,5,4,27,0,1,23,0,4,4,10,2,0,0,10,0,2,5,158,0,2
2367,53,27,4,0,1,0,0,1,9,0,0,8,5,28,15,1,34,0,0,11,11,2,0,0,9,4,9,5,131,0,3
2120,116,20,7,1,0,0,0,1,1,0,0,6,3,0,36,2,34,0,0,8,17,6,1,0,6,12,3,7,105,0,3
1350,43,33,10,2,0,0,0,2,0,5,0,2,5,0,28,1,18,0,0,0,12,8,1,0,2,6,0,12,166,0,3
1216,58,65,8,9,0,0,0,3,0,4,0,1,11,0,22,8,17,0,0,0,14,10,5,0,6,6,0,6,222,0,4
1738,174,92,5,10,2,0,0,4,3,5,0,0,10,3,0,24,25,4,2,1,6,4,9,0,3,4,0,11,179,0,4
3897,193,112,33,15,18,0,0,2,0,0,12,1,4,3,0,57,63,0,0,0,2,18,5,11,1,0,0,0,89,6,0
3886,203,89,91,7,7,10,1,0,0,0,0,8,0,7,4,39,78,0,0,0,1,0,11,12,1,0,0,1,87,0,2
3946,194,66,34,7,1,18,4,0,1,0,0,9,4,6,3,5,111,0,0,0,0,0,11,3,12,0,0,0,0,0,1
3234,201,105,18,3,2,3,9,2,1,0,0,0,12,6,0,2,92,6,0,0,0,0,2,16,15,4,0,0,0,0,0
3916,211,29,56,2,2,2,3,9,0,0,0,0,8,4,6,4,75,53,0,0,0,0,1,18,3,12,0,0,0,0,0
4324,226,40,19,15,2,0,3,14,3,0,0,0,0,12,8,3,77,50,0,0,0,0,0,3,15,16,0,0,0,0,0
3194,182,38,36,38,1,1,2,8,8,0,0,0,0,4,12,4,55,24,29,0,0,0,0,1,11,3,0,0,0,0,0
2756,131,53,6,25,10,1,1,3,1,9,0,0,0,0,0,10,42,5,31,1,1,0,0,3,2,10,7,0,0,0,0
3514,345,41,21,12,18,4,0,6,4,5,0,1,0,0,0,19,53,13,35,4,0,0,0,0,2,9,4,3,0,0,0
3605,201,109,8,10,23,10,0,2,1,2,15,0,0,0,0,4,70,16,0,49,0,0,0,0,3,10,10,16,0,0,0
3911,256,52,13,3,20,11,5,3,2,29,4,12,2,0,0,1,80,7,12,50,0,0,0,0,3,0,21,0,7,0,1
3772,242,78,13,0,14,12,5,3,0,5,5,12,0,0,0,0,61,10,18,37,15,0,0,0,3,0,9,5,0,0,0
3030,195,80,5,5,11,12,3,4,0,2,7,0,11,0,0,4,53,8,16,0,41,0,0,1,0,2,0,15,0,0,0
2345,186,21,1,30,4,12,5,17,0,0,4,8,4,5,0,11,32,1,14,0,23,0,0,0,0,3,0,4,0,0,0
2452,222,37,0,9,1,10,12,2,2,0,2,5,0,4,4,0,44,0,4,18,17,22,0,0,0,3,0,0,5,0,0
2859,295,56,1,8,3,14,9,5,4,3,0,5,2,0,12,3,49,0,0,26,0,49,0,0,0,2,2,0,0,0,0
