n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32
1362,610,315,1,0,1,8,4,6,4,2,0,51,0,6,0,0,0,99,54,56,106,2,56,50,50,0,37,100,0,0,0
1430,639,263,47,36,0,55,58,8,42,8,0,0,0,56,52,0,1,113,0,8,97,6,53,0,0,0,12,26,0,0,0
1680,713,277,50,28,0,0,6,12,1,2,6,0,0,0,58,0,0,114,49,56,164,8,6,0,0,0,8,30,0,0,0
1503,643,298,1,0,0,0,0,12,0,1,8,0,0,50,8,0,0,50,160,4,179,55,8,0,0,0,0,58,32,0,0
1465,599,354,8,50,50,0,0,8,8,49,0,8,0,50,6,50,0,44,110,0,7,173,8,8,0,0,0,6,31,0,0
1526,521,304,8,0,0,0,0,0,16,100,1,4,49,0,2,6,0,0,89,0,56,140,9,6,50,0,0,9,17,16,0
1596,532,320,52,54,0,0,0,0,14,4,1,0,8,0,0,8,100,51,47,60,2,171,6,11,50,0,0,58,0,32,0
1441,392,198,51,5,50,0,0,1,2,57,1,0,4,2,0,108,50,0,0,71,0,29,63,50,2,0,0,0,6,11,9
1887,590,365,0,56,4,100,0,0,0,2,8,51,0,10,0,52,4,0,0,113,0,56,175,6,6,0,0,0,0,0,33
1733,560,353,0,0,8,0,1,22,0,0,6,1,100,52,4,0,8,0,50,122,0,0,122,63,57,0,0,0,0,0,24
1888,835,322,3,0,4,2,0,0,0,0,0,9,0,0,6,53,8,14,35,2,109,0,170,60,10,1,100,0,0,0,0
1852,802,167,8,51,0,7,0,0,0,0,0,56,53,50,42,6,6,0,0,100,92,0,12,199,12,2,0,0,1,0,0
1919,654,264,16,50,0,7,2,0,0,0,0,100,59,0,0,4,4,6,0,50,118,100,0,128,29,6,0,0,0,0,0
1750,701,183,65,0,50,50,9,50,0,0,0,0,5,2,46,0,58,8,0,0,94,28,0,124,46,58,0,0,0,0,0
1398,531,248,8,5,0,2,54,2,1,26,0,39,50,11,50,0,1,14,0,0,0,134,0,31,91,18,0,0,0,0,0
1482,596,225,105,13,3,0,0,8,3,0,0,0,0,2,51,1,1,57,57,0,0,62,0,0,111,25,0,48,0,0,0
295,231,41,2,3,2,0,0,1,3,0,0,0,0,1,2,14,3,0,5,41,0,34,0,0,27,5,9,0,0,0,0
1639,695,195,57,8,10,1,0,0,9,33,18,0,0,1,0,7,2,1,4,54,49,58,59,16,61,80,28,50,50,0,0
1773,779,244,18,4,7,9,50,3,6,0,0,0,0,100,1,10,1,0,6,10,0,0,178,0,0,120,124,14,0,0,0
1666,765,171,23,0,8,1,0,50,0,8,0,0,0,1,43,0,56,51,100,7,8,50,126,0,0,124,12,33,0,0,0
1321,706,133,14,6,6,0,1,0,3,6,0,99,50,0,1,0,6,27,0,4,2,0,38,1,0,92,6,72,7,0,0
479,301,73,15,5,8,0,6,4,8,19,2,0,0,0,0,1,3,4,0,6,0,1,0,15,1,0,23,4,11,0,0
1335,638,305,11,18,52,58,0,2,3,1,6,0,2,0,0,41,7,4,4,0,5,3,51,99,6,44,75,15,33,2,0
1552,630,285,2,14,8,57,1,0,51,0,53,4,0,0,50,2,1,0,6,0,7,0,56,110,50,0,177,8,2,30,0
