n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32
499,552,210,11,0,40,28,22,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,28,0,28,28,29,0,0
69,89,22,0,28,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1865,882,304,51,2,0,2,69,1,66,0,18,0,0,18,0,32,0,1,0,77,21,1,33,2,17,26,0,46,0,0,0
1817,693,245,0,27,28,0,33,15,48,0,50,0,0,0,0,2,0,28,0,0,0,28,0,0,29,0,50,12,16,0,0
3769,1022,372,0,8,0,51,0,166,0,82,48,0,0,0,0,6,0,28,0,0,0,50,0,50,18,62,42,0,0,0,0
2315,999,357,0,3,1,1,0,126,1,137,1,0,0,50,50,2,99,0,50,0,0,0,0,44,0,132,0,0,0,0,0
2101,1001,295,1,6,1,0,0,114,24,97,0,47,50,51,45,1,50,1,0,50,0,0,0,0,0,66,65,0,0,0,0
2489,1211,267,22,1,52,50,0,1,103,77,111,0,0,0,50,1,0,0,0,50,0,0,42,0,50,0,31,0,0,0,0
1721,972,284,28,51,0,0,0,2,122,0,92,95,99,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,0,0,0
917,766,189,3,0,0,0,0,1,55,0,103,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0
2304,1495,346,2,4,79,0,0,8,90,44,90,1,0,1,0,93,6,0,36,0,0,0,0,72,50,0,0,13,13,0,0
1160,1210,516,42,3,45,0,58,50,1,116,0,112,98,44,0,0,4,52,0,46,0,0,0,0,42,50,0,37,69,0,1
1809,1007,481,0,52,50,162,0,91,46,198,1,132,0,1,0,101,1,0,0,58,50,51,0,0,0,0,0,58,19,15,0
880,915,338,0,64,1,0,0,0,0,135,16,70,0,50,0,0,1,0,0,0,109,50,37,28,50,95,106,0,0,28,0
346,361,125,17,27,0,26,1,1,9,2,6,3,0,0,0,13,0,0,8,0,0,28,56,0,0,3,13,27,0,15,2
295,329,193,1,1,0,0,0,0,0,0,5,0,27,28,23,24,0,32,0,0,0,0,0,0,0,0,0,21,0,0,18
560,392,217,2,24,30,2,28,4,1,1,7,28,16,0,0,20,29,28,0,0,0,0,0,2,0,0,0,0,0,0,23
374,354,186,0,0,0,28,0,0,0,0,8,28,48,29,0,0,28,0,28,28,0,0,0,30,0,0,0,0,0,0,0
