n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32
2921,956,329,50,1,0,0,14,145,139,6,53,58,50,50,1,8,2,6,0,8,50,6,52,0,0,0,0,50,31,0,0
2180,840,150,4,0,51,0,58,145,132,0,6,7,0,0,51,4,2,105,0,6,49,0,6,0,0,50,0,0,5,25,0
1930,906,322,6,2,0,0,0,59,232,51,8,54,1,0,1,32,58,8,50,50,58,0,8,0,0,50,0,0,0,27,0
1762,950,288,0,8,0,50,0,2,127,109,8,0,9,50,50,1,6,3,4,0,2,6,4,4,100,0,0,50,0,10,19
1697,1006,260,50,2,6,0,100,0,152,184,8,0,6,95,0,1,2,56,8,0,0,6,0,6,0,0,0,0,0,0,32
1721,904,432,0,0,6,50,24,27,76,264,0,6,8,6,1,1,0,8,58,0,37,2,56,23,0,0,0,0,0,0,14
2657,879,351,2,15,1,8,0,13,1,243,136,59,4,2,1,63,50,54,4,4,0,0,6,85,2,0,0,0,0,0,0
3336,853,551,0,1,0,2,6,51,1,128,61,8,0,58,0,45,82,66,7,8,100,0,0,30,18,0,0,0,0,0,0
3375,1027,287,1,26,71,0,52,0,0,55,111,8,9,8,0,7,0,0,8,6,0,0,0,76,24,22,0,1,0,0,0
2082,490,151,23,4,22,22,0,2,1,3,121,28,5,6,22,2,0,1,0,7,6,0,0,4,10,4,0,22,0,0,0
3039,564,274,73,3,1,1,0,0,0,28,70,16,4,7,0,26,2,0,0,6,24,27,41,0,5,28,50,0,0,0,1
4665,850,400,12,0,51,0,0,0,0,51,192,103,8,0,56,1,0,0,0,4,4,54,0,0,56,30,7,50,0,0,0
4232,991,335,11,5,1,0,48,3,11,150,56,208,10,50,7,5,0,50,0,0,8,6,0,0,0,10,36,0,0,0,0
4441,1168,304,6,19,51,2,0,13,90,0,1,255,12,3,10,57,99,50,1,0,6,8,0,50,0,6,36,8,0,0,0
4079,1414,237,2,12,58,50,0,102,3,0,0,176,65,14,50,0,0,0,0,45,50,0,61,0,9,0,14,32,0,0,0
3779,1605,215,1,7,0,6,0,5,0,50,0,88,264,64,2,3,0,50,100,0,1,0,6,0,0,0,1,38,5,0,0
3604,1901,202,1,8,51,4,4,100,1,0,0,0,240,6,8,0,0,0,49,44,1,0,54,4,50,0,0,60,36,0,0
2965,1574,231,65,49,10,49,4,5,6,0,42,52,263,4,4,56,8,0,0,0,0,2,0,6,0,26,0,8,25,2,0
2568,1344,230,1,1,6,1,0,9,1,0,0,0,113,171,6,37,18,0,0,50,0,0,1,32,0,46,50,50,4,31,0
2832,1413,302,7,1,8,0,17,0,6,0,50,0,0,266,6,3,6,0,0,0,0,0,246,0,6,0,0,0,0,33,0
2591,1073,292,55,4,3,4,0,3,7,6,0,0,50,212,8,56,9,13,0,0,38,50,0,51,6,0,0,0,0,0,27
2498,1199,379,68,56,3,6,8,1,0,6,2,1,0,198,88,91,0,6,49,0,0,0,0,0,57,2,0,0,0,0,31
2443,939,325,10,13,1,8,42,2,50,0,8,1,0,0,327,36,2,8,0,0,44,0,50,82,2,5,50,0,0,0,3
2116,1038,438,8,16,0,5,4,49,0,50,0,56,0,0,246,8,0,0,6,50,56,0,0,30,0,9,50,0,0,0,0
