n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32
533,837,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,130,0,0,0,0,0,0,0,0,19,15
433,680,148,5,3,10,1,0,0,7,1,0,1,0,0,0,1,37,89,0,0,78,0,0,0,0,0,0,0,0,0,25
294,588,141,11,3,8,0,0,2,10,3,0,0,0,0,0,1,11,85,1,1,7,65,0,0,0,1,0,0,1,1,12
189,435,106,2,0,4,1,0,1,6,0,0,0,0,0,0,1,0,66,1,1,0,45,0,24,0,0,0,0,0,0,0
449,746,220,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,116,26,0,0,132,0,34,0,0,0,0,0,0,0
391,893,252,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,129,0,0,73,33,0,32,0,0,0,0,0,0
379,560,181,7,1,2,2,0,1,2,4,0,0,0,0,0,1,8,0,98,0,0,0,70,0,19,0,0,0,0,0,0
535,879,205,2,0,2,0,0,1,2,1,1,0,0,0,0,0,2,0,91,0,0,0,119,0,2,24,0,0,0,0,0
524,817,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,70,0,0,128,0,0,32,0,0,0,0,0
588,915,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,36,64,0,9,23,0,0,0,0
1209,679,349,6,0,0,0,2,0,0,0,0,0,45,0,0,0,0,4,0,124,2,0,2,116,0,0,33,0,2,0,0
1640,761,242,16,0,1,1,2,4,0,0,0,0,51,0,0,0,38,38,6,156,8,38,0,97,39,0,52,14,0,0,0
1688,669,283,52,38,0,0,38,3,6,38,0,0,6,11,0,0,38,0,8,0,156,45,0,126,0,1,0,34,0,0,0
1449,730,326,8,6,0,0,76,0,2,82,0,0,38,14,1,0,38,0,8,0,96,8,0,14,111,1,38,21,10,0,0
1686,770,365,38,16,0,38,0,0,0,2,4,0,0,8,9,76,0,0,0,82,128,4,4,2,100,1,0,38,34,0,0
1565,831,356,1,14,2,0,42,0,0,0,46,4,80,8,10,2,0,42,0,8,98,30,44,0,131,0,1,0,26,8,0
1679,914,389,1,8,6,0,0,0,42,42,42,6,44,8,38,7,82,0,0,8,0,129,8,0,103,34,1,0,0,31,0
1662,798,211,0,0,14,0,0,42,84,42,0,0,6,1,6,9,0,42,0,2,4,132,0,8,46,152,1,1,0,32,0
1409,781,266,3,0,11,6,0,0,0,0,0,0,0,6,8,0,9,0,0,0,8,92,0,8,0,90,1,1,0,0,30
1461,725,309,4,0,10,9,0,1,0,1,0,0,0,0,16,0,8,1,0,0,6,50,81,0,8,129,0,1,0,0,31
1342,559,255,6,3,2,11,2,1,1,2,0,0,0,0,8,4,3,11,0,0,2,5,107,23,8,64,8,1,0,0,4
1543,665,299,14,1,1,6,8,4,1,0,0,0,0,0,2,7,8,7,1,0,0,7,120,25,2,4,128,0,1,0,0
1328,716,365,12,2,0,8,8,0,0,0,0,0,0,0,0,8,2,6,7,0,0,8,133,10,22,8,129,0,0,0,0
1298,799,251,6,8,0,6,4,4,0,0,0,0,0,0,0,8,0,4,10,1,0,4,2,126,36,6,105,0,0,0,0
