n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32
901,503,153,56,8,0,28,0,0,0,0,0,2,0,0,0,56,0,28,0,0,0,0,2,26,0,57,0,0,0,0,0
767,472,280,0,8,0,28,0,0,0,0,0,0,0,0,0,1,0,28,0,28,28,0,0,0,2,29,28,0,0,0,0
712,514,186,53,2,0,0,0,54,0,0,0,28,0,0,0,0,0,0,0,28,0,0,0,0,0,2,28,28,0,0,0
534,400,107,20,0,21,0,0,0,4,1,0,0,28,0,0,29,3,1,0,0,28,2,9,11,0,0,14,0,0,0,0
420,181,181,14,0,3,0,24,16,0,29,0,0,0,0,0,8,2,2,0,0,0,0,0,0,0,0,0,16,28,0,0
665,489,140,8,15,0,0,24,0,28,0,0,0,0,0,0,0,28,28,28,0,0,0,28,0,0,0,28,28,0,0,0
1141,324,306,28,16,1,0,27,26,0,28,0,0,0,0,0,0,28,31,0,0,28,0,0,0,0,0,0,13,17,0,0
1818,479,224,9,75,0,0,13,6,0,0,0,0,0,0,0,35,2,0,11,0,0,0,28,0,1,27,1,0,25,0,0
5424,1314,567,120,197,13,7,7,12,18,3,55,4,0,0,0,5,13,41,0,1,50,127,50,0,0,1,0,8,17,11,0
4729,798,604,124,2,131,25,14,27,23,12,0,6,0,50,50,48,6,2,7,0,98,0,0,0,0,0,50,30,4,32,0
4410,821,568,50,64,161,2,12,3,0,10,4,6,52,50,0,0,8,1,2,4,50,0,50,0,0,0,100,0,0,20,14
2842,493,292,10,42,27,2,30,3,0,28,2,2,2,0,78,0,50,2,0,3,4,50,0,1,0,28,0,26,0,0,25
3931,841,347,8,140,82,37,52,59,1,0,6,4,4,0,0,0,1,59,0,0,56,0,1,12,0,97,0,48,0,0,18
4246,761,525,1,84,67,130,0,14,52,1,107,4,8,6,50,1,1,58,0,0,50,8,0,30,0,0,49,0,0,0,0
4402,1199,258,5,16,89,113,1,13,157,0,1,56,51,12,25,10,5,1,8,0,1,0,8,65,12,39,0,0,0,0,0
3592,1287,341,8,8,134,124,0,7,107,50,51,6,52,11,2,0,0,1,6,0,0,0,50,6,33,84,7,0,0,0,0
3260,1491,273,7,3,108,57,123,8,104,4,0,1,6,0,14,0,0,0,4,4,0,0,0,2,126,12,50,0,100,0,0
3302,1349,292,1,51,13,95,176,2,8,6,0,0,7,0,8,24,4,0,1,6,0,24,40,2,5,28,0,50,0,0,0
2569,1264,291,0,2,50,118,108,1,7,8,100,45,0,6,2,38,2,1,0,8,0,50,0,0,50,30,9,0,0,0,0
2463,1094,200,1,69,53,101,118,3,9,2,4,0,1,4,0,56,9,1,50,0,6,0,50,0,0,0,34,50,0,0,0
2480,1093,228,88,0,4,36,108,132,59,50,6,0,1,56,2,8,1,56,0,0,8,0,0,0,50,0,24,11,0,0,0
2560,1314,167,49,2,0,66,139,124,1,7,8,46,0,1,7,3,6,106,0,0,6,0,50,0,0,0,0,75,4,0,0
2852,1120,197,1,2,0,10,184,108,2,58,6,36,50,1,56,3,9,0,10,50,2,6,51,0,0,0,0,84,0,0,0
3100,1106,161,0,5,51,0,94,209,138,8,2,6,0,1,51,11,88,0,4,2,1,6,1,0,0,0,0,1,34,0,0
