n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32
1544,717,269,8,0,10,2,36,58,0,50,22,1,6,8,1,0,52,56,6,0,0,50,0,5,8,0,1,96,35,0,20
1262,601,267,2,4,76,14,0,6,0,68,100,0,3,10,1,1,0,8,0,4,0,0,27,20,60,1,0,0,71,0,1
1195,379,235,4,7,1,6,6,7,3,0,1,0,0,8,4,0,0,4,0,5,58,0,0,29,8,5,0,0,0,0,0
1717,738,338,0,58,51,0,60,4,1,2,0,21,55,6,9,1,1,52,6,6,50,0,0,0,30,8,50,0,0,0,0
1629,770,329,38,4,6,52,2,12,2,2,0,51,0,0,112,2,1,1,8,4,4,50,0,0,32,58,0,0,0,0,0
994,576,91,69,2,54,0,0,57,6,0,0,0,0,0,58,0,51,0,2,0,6,0,0,0,6,17,102,0,0,0,0
1505,668,191,102,87,9,1,0,3,8,2,0,2,32,1,7,7,51,1,2,4,30,50,0,1,20,22,7,0,0,0,0
1728,725,381,98,1,21,2,0,52,11,7,2,0,7,1,0,12,1,4,2,48,57,2,0,49,51,2,24,2,0,0,0
2412,703,416,40,61,1,7,0,51,58,2,106,0,50,50,1,22,1,0,0,6,50,7,0,0,0,0,78,8,0,0,0
895,328,156,2,34,1,52,0,2,3,2,0,2,7,50,0,4,4,1,0,0,2,4,0,14,0,0,7,4,1,0,0
500,192,113,2,39,0,1,0,1,1,1,2,0,54,0,0,51,5,1,0,0,3,2,0,0,1,0,0,9,2,0,0
113,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,0,2,0,0,0,0,0,0,0,0
1078,36,18,13,0,50,0,7,50,0,50,3,4,50,0,6,0,10,7,0,0,2,4,5,0,29,45,5,0,0,0,0
950,18,5,14,0,49,0,6,0,0,42,50,4,49,50,2,0,3,6,3,0,0,15,4,0,0,0,0,0,0,0,0
1115,51,14,9,8,50,1,2,56,50,0,0,7,52,18,0,4,2,4,7,0,0,7,2,5,2,51,0,0,0,0,0
414,7,2,3,1,0,0,0,0,0,0,47,0,4,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0
1703,308,177,20,79,1,91,50,29,49,2,0,2,4,1,0,27,1,10,2,4,3,0,7,6,0,0,0,6,1,0,15
2057,973,181,5,141,4,123,0,9,5,47,0,1,0,8,49,7,0,99,13,7,1,0,8,54,2,0,50,0,0,0,28
1409,619,240,8,39,152,127,3,0,6,100,0,0,0,5,0,1,2,1,8,6,52,0,21,22,8,0,0,0,0,0,5
1495,705,312,44,67,120,50,95,0,7,0,0,85,0,0,8,0,0,0,8,2,9,0,50,34,8,0,0,0,0,0,0
1744,527,217,6,12,83,0,87,92,23,1,48,0,51,0,8,3,2,0,50,4,13,5,0,10,19,50,0,0,0,0,0
1499,741,320,5,8,69,72,114,0,3,59,0,0,0,0,50,9,3,0,0,54,0,15,3,2,32,56,0,0,0,0,0
1612,977,234,2,10,7,80,60,57,0,2,0,0,0,0,50,8,1,50,1,58,50,5,7,4,22,64,1,0,1,0,0
687,279,90,2,1,4,42,0,84,0,4,0,0,0,50,0,1,3,0,0,3,0,7,2,52,4,21,0,50,0,0,0
