n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32
1503,157,52,5,23,5,2,8,12,9,1,45,1,4,5,1,44,60,65,39,2,25,5,3,25,25,16,2,2,0,0,0
1511,102,109,23,3,6,5,25,14,34,6,26,27,1,27,2,35,78,4,12,1,1,3,2,1,24,12,6,1,1,0,0
1591,130,92,34,3,1,0,3,16,6,55,2,3,3,4,5,2,99,28,22,1,2,6,26,4,23,1,17,3,0,0,0
1511,73,62,31,25,0,20,5,4,16,35,4,25,1,4,43,0,100,7,55,6,1,1,5,1,4,2,41,23,0,0,0
1280,85,41,39,4,24,23,26,10,20,27,5,0,13,2,5,5,93,13,146,1,1,1,5,2,8,1,16,6,2,0,0
1519,74,75,14,40,3,1,4,23,14,12,3,6,1,4,6,24,70,66,11,3,0,2,25,22,1,3,6,19,0,0,0
1428,85,104,9,24,49,1,25,3,33,13,7,6,2,0,2,0,52,47,85,4,2,4,6,2,8,22,4,18,4,1,0
978,85,96,0,33,26,2,1,1,24,8,4,0,3,6,3,2,55,25,16,1,23,1,27,1,5,23,8,5,25,0,0
643,147,99,3,2,3,2,36,2,23,2,1,3,1,0,0,2,78,4,4,26,4,3,0,2,2,0,26,3,65,0,0
576,153,60,1,2,2,2,24,5,0,3,2,0,2,5,25,25,56,2,28,5,2,1,2,1,15,10,23,2,0,0,0
211,47,21,1,1,0,0,25,0,0,0,25,0,1,0,1,0,11,0,85,17,1,0,0,0,1,0,2,1,0,0,0
1818,204,58,25,1,18,25,2,1,1,87,27,1,0,0,1,3,53,0,27,0,2,1,0,0,53,2,26,1,0,0,0
3486,187,82,44,2,73,6,5,1,1,2,14,7,52,2,2,55,163,3,44,46,14,10,51,3,7,1,2,50,0,0,0
24445,210,98,23,3,36,14,59,0,2,3,6,15,4,100,2,2,159,3,92,52,13,1,53,3,3,5,1,53,1,0,0
12859,306,84,17,2,2,21,56,3,50,4,2,14,5,3,3,0,169,2,35,127,13,2,2,1,3,2,2,52,1,0,0
2792,208,198,8,1,1,17,2,10,3,0,4,24,60,1,1,32,72,7,1,34,2,0,1,5,42,5,1,1,0,0,0
1994,149,69,12,0,3,15,15,7,3,2,1,12,9,20,3,24,48,27,15,45,1,2,3,2,3,4,25,1,0,0,0
1688,136,54,12,4,2,4,16,4,10,1,23,28,36,10,1,0,49,2,27,30,1,2,13,22,1,3,2,2,2,0,0
1427,98,41,25,6,2,3,10,8,6,35,0,25,9,9,43,1,39,0,6,8,32,0,1,2,0,1,5,1,46,0,0
178,23,1,1,0,0,1,4,0,0,0,0,0,11,8,1,14,0,14,10,0,0,0,0,0,0,0,14,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
