n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32
2339,575,230,2,2,6,0,6,122,0,1,0,0,2,6,12,0,0,0,14,0,9,1,8,6,7,30,0,0,0,0,0
2211,674,246,3,9,7,1,7,29,76,2,0,0,0,8,2,12,1,0,17,0,6,4,4,2,8,25,11,0,0,0,0
2222,528,237,23,6,6,1,4,0,91,1,0,0,0,9,0,10,7,0,0,14,2,9,8,0,8,5,33,1,0,0,0
2161,444,197,147,2,7,6,0,0,122,0,1,0,0,4,4,8,2,4,0,14,0,8,6,6,6,0,32,7,0,0,0
2317,487,187,123,0,6,2,0,0,106,20,1,1,0,0,6,6,1,4,4,15,2,6,5,8,6,2,3,38,0,0,0
2108,419,208,125,0,7,2,0,0,0,108,0,1,0,1,6,0,11,0,2,6,10,0,7,8,0,6,0,36,3,0,0
2411,427,208,6,91,0,14,0,1,0,77,0,1,0,0,4,3,8,0,0,1,26,0,8,11,0,8,0,2,32,0,0
4273,386,218,8,56,0,8,0,2,0,66,0,0,0,0,0,8,8,0,0,0,10,10,0,7,9,5,0,1,29,0,0
4452,348,274,5,82,0,8,6,0,2,43,52,0,0,0,0,8,8,0,0,0,6,13,6,8,10,4,6,0,2,28,0
4452,376,215,6,87,26,0,12,0,0,0,73,1,0,0,0,6,4,4,0,0,0,6,6,12,4,10,8,0,0,30,0
4276,391,195,0,0,84,2,6,1,0,0,91,0,0,0,0,0,2,5,0,0,0,2,0,2,2,10,0,0,0,0,23
4469,457,175,0,4,102,0,0,1,6,0,72,0,0,0,0,5,1,0,0,0,0,0,0,1,0,1,1,0,0,0,31
4687,507,174,1,0,115,0,0,0,0,0,58,58,0,0,0,0,0,0,0,0,0,0,0,28,1,0,7,0,0,0,0
3924,590,196,0,2,29,57,0,0,0,0,0,92,0,0,0,2,1,1,0,0,0,0,0,30,0,0,0,0,0,1,0
4612,691,222,1,2,1,106,0,2,1,2,1,92,0,0,0,0,0,0,0,0,0,0,0,3,25,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1319,312,50,0,2,1,30,0,1,1,0,0,0,35,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0
2910,735,141,7,1,3,13,72,4,2,0,0,0,75,0,0,2,3,0,0,0,0,0,1,1,0,24,1,0,0,0,0
2315,607,114,4,7,10,4,57,1,2,10,0,0,73,0,1,1,1,2,4,3,0,0,1,0,4,0,26,6,0,0,0
1177,221,48,3,6,3,1,39,3,2,4,2,0,32,0,0,0,1,0,0,3,0,0,0,0,2,0,8,2,2,0,0
2190,589,115,8,6,4,3,70,19,2,3,6,4,0,50,0,3,3,1,0,9,0,0,0,0,5,0,0,27,0,1,0
3051,749,155,5,4,10,0,8,119,0,2,6,2,8,105,0,0,1,0,0,14,0,0,0,0,4,2,0,33,0,0,0
2828,701,132,1,2,14,0,4,86,1,1,8,8,2,114,0,0,0,1,0,10,6,0,0,0,0,8,0,2,25,0,0
1502,359,107,4,1,4,3,2,59,4,2,2,5,1,5,56,1,0,3,0,0,4,0,0,0,0,8,0,0,13,0,0
