n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32
47,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,10,0,0,0,0,10,0,1,0,0,0,0
770,108,72,11,0,10,18,34,14,39,8,2,16,0,20,6,1,4,0,11,2,2,0,13,0,17,2,11,16,0,0,0
1494,172,160,2,0,18,30,124,11,91,1,23,0,0,20,8,0,2,16,0,6,20,0,4,36,9,15,32,10,0,0,0
1493,161,146,0,0,1,40,83,10,63,5,12,4,0,7,15,10,1,29,0,14,6,25,13,19,0,23,12,20,0,0,0
1294,179,136,1,13,40,17,93,11,77,13,1,7,0,0,0,11,0,0,15,14,0,9,10,15,0,6,15,33,0,0,0
0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
116,20,10,0,0,0,0,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,38,21,0,1,2,1,0,3,0,20,0,9,0,0,6,1,0,10,13,10,0,0,1,6,0,11,0,12,0,0,0
1339,163,75,8,11,9,0,0,5,1,71,2,62,20,2,2,5,3,1,24,0,11,12,5,18,20,3,0,4,0,0,0
1593,230,68,6,4,0,5,28,16,4,90,15,108,10,10,12,1,11,20,0,0,7,13,0,6,38,14,1,11,0,0,0
2147,264,99,0,18,6,15,16,25,11,72,6,70,38,20,26,14,20,0,10,7,10,10,0,23,51,26,10,11,4,0,0
1351,221,85,22,7,10,1,3,4,14,0,77,4,99,16,6,1,1,0,0,9,16,1,10,14,22,29,2,11,0,1,0
1842,195,93,13,15,2,0,1,14,14,9,88,4,92,0,0,5,1,0,10,0,0,0,5,11,37,50,17,1,0,0,0
2009,323,99,10,1,26,30,7,23,18,24,117,6,97,10,20,19,10,20,0,10,10,10,10,30,6,21,24,0,11,0,0
2181,285,134,0,20,8,12,20,11,10,34,57,49,18,113,30,4,20,10,0,20,10,0,0,10,18,28,36,28,0,0,0
1087,193,83,11,0,15,12,8,7,0,15,10,69,4,66,0,4,3,0,0,0,20,0,10,0,0,26,19,5,0,0,0
1259,149,103,14,0,3,0,10,10,1,16,2,46,2,64,0,10,5,0,0,10,10,0,10,0,0,4,2,34,4,0,0
764,117,79,24,0,0,4,6,10,0,15,1,49,2,16,11,4,6,10,0,3,4,10,0,10,12,3,14,18,5,0,0
2046,205,95,27,19,0,7,10,30,2,1,7,38,76,0,119,35,14,26,10,0,10,10,0,0,19,3,8,10,25,0,0
