n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32
1399,158,95,1,0,3,13,0,8,6,11,4,3,5,4,0,6,10,0,0,0,0,0,6,85,0,1,4,5,0,15,7
1296,161,159,2,0,0,12,1,6,5,15,0,8,0,6,4,2,7,0,0,0,0,0,5,80,0,0,9,7,0,0,26
1618,227,166,1,1,0,6,6,1,9,18,3,8,0,6,8,0,8,7,1,0,0,0,0,101,2,0,0,8,6,0,21
1333,192,142,45,0,0,0,6,0,3,10,8,5,0,3,11,0,1,13,0,0,0,0,0,35,101,0,0,5,2,0,0
1195,147,80,70,0,0,0,6,0,6,3,11,0,8,0,7,2,1,10,6,0,0,0,0,19,84,0,0,8,1,0,0
351,68,30,36,0,0,0,2,0,0,5,5,0,2,0,2,2,1,0,2,0,0,0,0,0,30,0,0,2,1,0,0
358,28,9,11,0,0,0,0,3,0,3,2,2,0,3,0,2,2,0,0,0,0,0,0,1,6,0,0,0,0,0,0
85,8,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
149,5,4,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
3913,277,52,1,64,0,0,0,0,6,0,0,12,3,11,0,1,10,0,0,6,0,0,0,4,0,58,50,0,0,0,0
4306,393,79,4,107,9,0,0,0,9,1,0,14,0,15,4,2,3,14,0,8,0,0,0,0,6,2,134,0,0,0,0
4782,391,76,7,1,89,0,0,0,5,2,0,10,4,1,19,0,1,14,0,6,0,0,0,0,0,4,203,26,0,0,0
3858,459,56,6,4,120,0,1,3,1,9,0,0,16,0,17,2,3,4,13,0,8,0,0,0,0,0,114,42,0,0,0
4535,648,84,6,6,110,1,0,0,1,8,0,0,7,6,0,20,3,2,13,0,8,0,0,1,3,0,20,102,27,0,0
5529,811,148,5,12,45,47,0,4,3,4,2,0,6,7,0,18,5,3,3,8,6,0,0,0,2,3,0,101,21,0,0
4986,831,80,8,10,0,108,1,0,0,0,7,0,8,0,5,6,13,0,1,10,4,4,0,0,0,0,0,100,4,30,0
3771,949,96,7,9,5,111,0,0,0,0,5,1,2,8,6,2,15,4,0,6,6,5,0,2,0,0,0,75,8,22,0
4088,939,106,9,1,8,96,3,2,2,1,8,0,1,8,0,7,4,13,0,3,12,10,0,0,0,0,0,0,103,2,26
3755,792,145,7,0,5,1,118,7,6,0,0,6,0,6,0,6,9,10,2,0,7,12,0,0,0,0,0,0,0,1,29
2880,753,102,4,4,10,0,83,1,6,2,0,6,0,6,0,2,7,2,11,0,8,6,10,21,0,0,0,0,0,0,6
2027,540,87,0,9,7,7,63,3,5,2,4,7,0,0,2,6,8,7,4,1,0,7,7,11,1,0,0,0,0,0,0
2321,658,84,5,7,1,4,79,40,3,0,2,3,4,0,4,0,2,10,1,7,0,4,9,9,19,0,0,0,0,0,0
2046,716,75,4,4,2,10,0,82,3,1,0,2,13,0,6,1,1,11,2,4,2,5,1,12,18,0,1,0,0,0,0
2495,703,172,8,0,10,0,6,103,1,0,0,0,8,6,8,0,2,4,8,6,7,6,2,9,22,15,0,0,0,0,0
