n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32
343,424,53,1,0,1,0,0,0,1,0,0,0,16,174,0,0,1,0,0,0,0,0,0,0,1,5,21,0,0,0,0
53,89,6,1,0,1,0,0,1,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,348,72,0,0,0,0,0,0,0,0,0,0,0,192,1,1,1,0,0,0,0,0,0,0,0,0,3,20,0,0,0
315,413,105,0,0,0,0,0,0,0,0,0,0,0,93,112,0,0,1,0,0,0,0,0,0,0,0,0,27,0,0,0
180,289,72,0,0,0,0,0,0,0,0,0,0,1,0,151,0,1,0,0,0,0,0,0,0,0,0,0,4,12,0,0
309,442,104,0,0,0,0,0,0,1,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
387,412,113,0,2,0,0,0,0,0,0,0,0,0,0,195,32,1,0,0,0,0,0,0,0,0,1,0,0,21,7,0
97,38,5,1,0,1,0,0,2,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
1677,296,92,0,5,1,1,0,3,0,0,0,0,0,0,0,152,0,2,0,0,0,0,0,0,0,0,0,0,0,13,2
2021,284,145,2,1,0,0,0,1,0,1,0,0,0,0,0,153,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21
1668,374,192,0,2,0,0,0,1,0,0,0,0,0,0,0,95,133,0,0,0,0,0,0,8,0,0,0,0,0,0,20
1575,424,203,1,1,1,0,0,0,0,0,0,0,0,0,0,1,243,0,0,0,0,0,0,30,0,0,0,0,0,0,0
89,61,36,0,2,0,0,0,1,0,0,0,0,0,0,0,1,32,0,0,0,0,0,0,4,0,0,0,0,0,0,0
8,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,111,18,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,16,0,0,0,0,0,0,0,4,0,0,0,0,0
162,200,51,2,1,1,0,0,0,2,1,0,0,0,0,0,0,1,0,25,0,0,0,0,0,0,0,2,0,0,0,0
788,478,146,0,0,3,1,0,1,3,0,0,0,0,0,0,2,0,0,185,0,0,0,0,0,0,0,23,0,0,0,0
2129,588,148,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,29,0,0,0
557,634,120,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,72,121,0,0,0,0,0,0,0,31,0,0,0
487,544,105,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,220,0,0,0,0,0,0,0,5,17,0,0
371,479,86,2,2,2,0,0,1,5,2,0,0,0,0,0,1,2,0,0,213,0,3,0,0,0,0,0,0,22,0,0
309,332,100,1,2,2,0,0,1,1,1,0,0,0,0,0,2,1,0,0,110,32,1,0,0,0,0,0,0,6,9,0
