n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32
2046,363,175,19,1,107,4,10,8,7,0,20,11,0,4,0,2,17,8,14,1,9,10,0,10,10,5,0,19,19,0,0
2225,338,205,9,8,3,119,13,9,3,12,9,10,8,6,11,16,1,26,4,1,0,18,6,5,0,9,5,6,31,0,1
544,180,66,8,2,5,40,3,13,5,6,0,5,3,1,0,5,2,3,0,2,5,4,0,2,1,0,1,0,6,5,0
1258,375,115,39,1,8,74,1,4,25,1,1,7,4,8,2,5,9,4,8,3,1,3,3,0,0,0,0,3,0,15,0
1877,427,89,118,1,15,99,31,10,7,12,0,6,3,14,4,3,5,0,5,5,16,1,4,2,0,15,0,11,0,29,5
699,293,76,59,2,9,3,45,2,17,14,1,2,7,0,4,2,4,9,1,4,3,2,5,0,0,1,0,1,1,0,12
1838,400,84,85,1,5,1,84,1,12,9,1,5,13,0,0,2,6,20,0,4,10,10,13,4,0,3,0,6,1,0,27
11,22,6,1,1,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
549,97,19,3,11,4,2,5,10,0,2,0,0,1,0,5,1,2,2,0,2,0,0,0,6,3,0,0,0,0,0,0
48,15,4,0,1,0,0,2,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
439,117,23,5,18,8,2,2,26,4,1,0,6,0,1,0,2,5,0,1,1,0,6,0,1,11,0,0,0,0,0,0
570,211,45,1,15,11,0,2,28,7,1,0,4,0,0,0,8,5,0,0,0,0,2,0,6,0,5,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,17,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
