n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32
1829,254,78,6,22,2,6,13,0,0,10,2,11,107,25,110,0,11,26,4,16,11,9,0,0,0,0,30,12,19,3,0
1373,204,64,16,22,0,3,3,0,10,10,2,9,95,15,73,44,1,22,10,1,0,11,0,0,10,0,2,3,0,22,1
2181,339,85,0,16,20,10,24,11,32,0,8,10,116,44,16,123,10,15,26,0,0,10,0,0,10,10,18,8,25,30,0
2074,307,124,1,26,21,10,22,0,14,8,36,16,0,91,4,94,9,10,8,10,4,4,10,0,10,10,6,14,0,4,27
1700,281,81,22,26,27,11,14,10,11,10,10,16,17,117,10,119,22,10,6,10,0,0,10,0,0,10,10,8,2,0,23
1703,279,84,34,21,12,23,0,1,10,10,10,18,3,98,1,0,120,24,18,0,10,10,10,36,11,0,0,5,6,0,8
2527,349,107,8,14,16,18,0,18,0,20,10,8,0,59,72,15,103,14,20,14,0,19,10,27,20,10,20,24,2,0,0
4089,304,132,7,11,38,21,14,18,0,10,0,4,22,1,78,2,67,30,23,19,16,10,10,34,14,0,8,2,16,0,0
4497,329,113,35,22,25,9,25,10,7,0,7,8,17,0,58,1,72,48,28,16,0,0,19,0,30,0,0,0,1,0,0
891,68,25,0,19,0,0,1,8,6,3,0,0,10,0,14,2,1,15,10,0,0,0,2,0,5,2,0,0,0,0,0
1618,240,35,0,12,0,0,0,23,4,11,0,11,0,4,2,21,6,58,0,0,0,10,0,0,10,12,3,5,0,0,0
4690,457,167,20,1,10,10,10,11,10,10,0,0,20,9,0,118,40,107,0,10,10,0,30,0,0,16,14,30,0,0,0
4135,412,242,10,10,0,0,10,6,14,19,20,30,10,10,20,82,10,10,85,10,10,10,10,20,10,10,30,0,0,0,0
4299,555,148,20,10,20,10,17,0,36,0,20,10,18,10,0,132,2,10,111,10,0,20,25,4,6,4,22,30,0,0,0
4181,708,142,0,10,1,13,10,10,1,20,10,0,0,20,0,64,69,10,107,16,7,0,15,10,0,10,11,40,0,0,0
2063,343,40,10,10,0,0,10,0,5,0,0,0,0,0,30,10,71,10,62,20,0,10,0,20,0,0,10,13,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3013,524,125,2,2,17,0,2,9,6,31,10,14,10,10,6,10,12,105,4,79,39,0,26,30,0,0,0,29,0,28,0
2978,627,120,12,12,5,0,10,33,10,39,10,8,0,10,16,10,11,129,23,10,120,20,15,10,0,20,10,10,0,23,7
2930,558,82,27,6,20,12,10,10,12,8,34,16,4,20,18,0,21,94,27,10,127,20,0,25,12,10,20,20,0,0,29
3061,519,134,15,6,16,8,9,20,15,12,19,33,38,18,10,6,8,92,43,0,150,31,0,25,26,0,10,0,0,1,26
2883,427,113,27,0,6,37,30,15,26,10,15,17,19,0,8,29,1,20,103,10,30,64,0,31,7,6,0,20,0,0,0
2484,391,126,0,8,30,6,0,11,17,21,13,14,8,25,0,22,45,9,130,20,0,95,20,24,21,18,10,0,0,0,0
