n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32
2929,495,158,15,42,31,1,6,21,0,1,10,34,21,21,172,32,1,0,0,10,10,10,0,27,26,24,8,28,2,0,0
2660,491,137,5,28,16,31,18,0,12,1,9,0,18,20,72,195,6,10,9,0,10,0,18,30,52,0,9,30,0,0,0
2801,495,124,22,16,26,8,15,10,0,20,0,10,0,8,0,262,6,0,10,20,20,0,10,10,42,18,20,52,10,0,0
2604,424,114,26,32,14,12,21,0,20,10,10,10,10,2,34,208,56,0,20,0,0,20,6,24,10,42,18,24,1,0,0
2469,441,115,4,24,17,32,25,0,0,0,0,40,0,0,28,94,107,21,20,10,20,10,10,10,10,39,21,11,0,0,0
2485,427,169,5,19,17,2,30,21,1,10,20,20,24,16,0,28,234,14,11,0,10,20,0,0,20,19,39,18,1,0,0
2906,434,183,16,6,16,22,8,27,0,20,0,10,20,9,0,12,245,48,20,10,0,0,20,10,30,10,45,34,2,0,0
5902,451,238,13,23,15,29,24,50,42,1,16,13,8,30,9,26,125,159,11,0,9,0,11,0,18,6,4,28,6,0,0
5788,475,195,1,14,9,36,10,26,9,20,20,0,30,0,10,30,62,164,22,10,10,0,10,30,20,0,0,26,2,0,0
4979,452,205,23,28,20,4,14,15,16,0,10,0,10,11,29,24,10,218,66,32,11,1,9,19,0,10,0,3,26,44,1
4684,447,197,14,17,35,8,26,11,35,13,12,19,10,2,24,16,27,89,90,5,3,8,11,0,0,3,1,9,24,158,6
3684,354,222,8,12,22,30,26,1,14,4,22,10,0,10,0,10,0,50,105,20,17,0,10,0,10,30,10,20,4,9,0
5020,1338,346,24,34,21,25,18,12,15,7,2,6,0,0,10,20,5,66,148,50,10,38,2,10,10,20,3,0,0,29,0
5759,555,207,9,6,20,38,9,20,11,6,32,14,2,0,10,1,10,10,116,151,38,10,4,2,10,20,20,0,0,2,24
4657,645,169,9,25,1,14,24,25,0,0,16,18,49,0,20,12,11,10,109,137,18,1,20,14,43,0,20,0,0,0,26
4531,692,156,14,13,2,1,13,15,10,23,9,26,1,28,0,21,12,10,119,107,27,10,18,55,4,6,0,10,10,0,0
4186,652,879,20,19,11,10,3,17,13,12,0,2,0,14,11,6,21,22,2,86,75,20,0,24,2,10,21,22,0,1,0
2949,619,113,0,5,18,10,20,12,10,14,10,12,0,0,8,20,0,0,0,143,106,0,20,10,31,10,0,0,2,0,0
3656,786,198,14,17,10,2,0,20,24,6,14,36,42,0,2,14,10,0,10,101,110,22,20,0,45,0,0,0,0,0,0
3176,696,173,14,13,5,26,10,11,12,22,7,0,11,11,20,17,1,0,20,84,61,73,0,1,10,34,10,23,9,0,0
2967,651,154,14,2,29,19,15,31,6,26,6,12,31,28,31,10,8,0,0,0,103,108,0,7,0,37,0,10,10,0,0
3164,673,152,5,14,34,8,12,26,17,11,26,16,0,0,0,1,2,14,10,10,95,127,16,10,9,12,41,10,0,0,0
3443,617,151,2,10,18,28,21,10,26,10,16,16,14,16,20,0,21,18,10,10,124,56,94,0,10,0,66,10,0,0,0
3228,573,150,10,5,10,21,27,21,20,8,8,0,8,0,0,1,17,30,20,10,70,63,113,29,0,10,34,32,10,0,0
