n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32
171,175,37,1,1,0,9,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,8,8,3,0,0,0
106,238,76,28,13,1,16,1,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,3,2,1,22,0,4
541,541,148,4,14,19,1,130,8,0,0,0,10,0,0,3,2,1,11,9,0,0,0,6,37,0,1,5,9,2,0,0
290,236,164,2,2,0,0,76,0,0,0,0,0,0,0,0,2,21,9,1,0,0,6,0,2,3,17,6,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,301,111,2,1,0,2,1,73,1,0,0,0,0,0,0,6,3,0,0,1,0,8,1,1,6,0,0,0,7,1,1
515,298,83,7,1,0,0,0,78,1,0,3,2,0,0,0,4,2,0,0,4,0,0,0,0,2,0,2,1,5,0,1
7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1019,350,315,64,0,1,3,34,2,52,1,7,0,0,1,12,4,10,1,1,0,2,0,34,12,11,16,12,1,0,22,2
4047,1161,921,42,31,0,1,18,1,257,10,59,0,30,0,16,16,49,1,24,43,18,0,17,83,18,81,6,48,5,14,40
3066,1032,571,297,18,0,16,6,18,274,20,43,0,57,0,0,49,39,0,2,16,24,45,0,18,27,40,4,6,5,6,49
2774,1199,472,365,2,31,23,2,20,117,87,30,16,16,22,30,4,44,32,3,38,32,14,1,70,18,37,18,32,4,3,31
2947,1079,497,364,44,2,1,19,25,17,268,45,32,9,22,0,5,31,0,15,0,22,28,14,49,62,69,13,14,6,4,5
2840,1376,372,241,83,0,16,6,29,1,188,21,19,14,0,16,61,47,18,18,17,0,26,13,45,17,45,2,15,6,2,4
3219,1685,374,124,262,0,40,10,22,1,219,18,0,42,0,16,42,52,1,5,10,0,33,12,20,67,57,1,12,2,3,6
3287,2012,536,53,301,17,26,43,16,16,79,231,37,29,16,11,4,43,0,24,11,6,0,0,35,25,88,42,23,2,3,3
2194,1763,402,75,281,0,34,39,20,33,20,260,22,0,22,14,20,47,0,14,27,16,10,32,39,32,28,8,6,5,5,39
2212,1750,530,54,36,221,48,15,41,38,9,284,45,35,0,1,32,27,16,14,0,18,40,0,52,21,46,19,68,5,0,6
1588,1268,344,124,10,260,21,0,52,3,22,204,5,16,21,0,3,21,1,18,2,1,0,10,10,17,7,37,5,1,16,6
75,143,40,43,1,9,0,1,1,1,0,3,21,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,1,0,0,0
122,263,29,24,2,4,16,0,0,0,0,0,10,0,0,0,1,3,0,1,0,0,0,0,4,0,0,0,2,0,0,1
725,813,348,124,6,0,204,0,0,1,4,5,141,0,1,1,0,12,1,3,0,0,0,0,3,1,0,0,13,4,1,1
288,618,110,96,0,0,122,1,2,1,0,3,84,4,0,0,0,9,0,4,0,0,0,0,8,1,1,3,1,12,2,3
