n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32
2044,249,132,7,24,10,42,4,24,5,12,7,10,30,16,20,10,0,100,31,6,108,2,18,0,40,0,29,0,0,0,0
2004,297,138,40,0,21,6,8,8,11,46,10,10,29,6,2,10,10,92,10,38,87,14,8,10,0,20,11,64,0,0,0
2211,299,194,10,20,10,0,6,34,1,2,16,0,20,10,18,30,0,70,51,23,107,8,26,10,30,29,6,27,0,0,0
2086,280,141,10,0,10,0,14,40,0,1,8,0,20,16,17,10,25,0,109,28,78,68,28,10,13,0,0,15,43,0,0
2100,226,194,18,0,0,10,12,29,28,11,0,8,0,20,16,20,40,10,99,0,29,134,8,6,10,14,6,16,28,0,0
2010,222,140,12,10,10,20,13,16,42,30,11,4,12,0,13,6,20,19,94,0,25,90,8,16,0,10,10,27,23,16,0
2187,224,191,28,4,29,0,10,0,64,4,1,10,8,10,20,8,20,10,60,52,14,138,5,10,0,0,20,8,10,32,0
1871,167,99,20,11,10,10,21,10,12,28,1,20,14,2,22,12,11,11,20,83,0,42,64,11,0,0,0,0,6,16,9
2551,244,133,0,14,4,10,10,40,10,0,8,11,0,40,0,2,14,10,10,111,10,36,113,28,28,10,10,20,10,0,31
2361,232,108,20,8,38,10,10,10,10,0,26,1,40,22,6,0,18,10,10,134,0,0,135,23,6,10,0,0,14,0,24
2717,242,125,12,18,3,16,16,5,0,0,10,19,4,0,4,2,28,20,20,16,107,0,85,54,22,36,20,20,10,0,0
2632,252,74,8,20,24,8,10,0,10,10,10,6,13,20,0,7,17,45,0,10,73,20,28,159,50,12,0,0,0,0,0
2526,280,64,16,1,18,16,2,30,30,20,10,10,38,0,20,14,24,58,0,10,104,20,10,122,27,26,20,0,0,0,0
2346,349,70,15,10,22,16,18,0,10,0,10,10,5,31,20,10,8,28,0,8,95,30,6,114,62,34,0,0,0,0,0
1906,276,59,17,24,1,2,4,0,20,31,12,0,0,11,10,21,0,27,0,20,14,99,0,31,90,19,7,13,0,0,0
2004,292,86,10,14,2,18,0,20,1,10,17,26,4,20,16,0,11,17,6,14,8,65,0,13,123,33,0,20,0,0,0
511,77,22,1,0,0,0,0,10,0,0,0,0,0,1,1,1,0,0,4,0,0,32,0,1,41,6,10,0,1,0,0
2237,325,98,7,18,18,16,10,0,9,22,10,14,9,20,0,16,20,0,6,4,19,60,62,16,79,42,37,10,0,0,1
2396,368,77,28,6,6,20,26,29,16,0,0,19,10,0,1,46,0,0,26,10,20,0,132,10,13,143,31,23,1,0,0
2218,353,64,55,10,28,11,8,0,10,8,30,10,20,21,1,10,18,10,10,16,28,31,130,10,0,123,38,32,0,0,0
1712,325,91,32,16,28,0,4,2,0,12,4,0,11,7,11,1,0,2,10,7,36,5,97,10,20,95,23,33,7,0,0
620,132,38,17,2,13,0,0,10,0,0,0,0,0,0,4,0,9,2,0,0,6,7,19,23,2,11,52,1,19,0,2
2004,265,119,9,26,3,19,0,21,11,0,10,0,16,11,11,9,1,12,4,0,9,14,10,82,22,20,45,36,29,2,0
2181,280,119,10,35,8,10,10,6,11,0,13,24,10,0,0,20,1,11,28,24,28,10,8,98,10,20,103,31,19,28,0
