n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32
2665,513,124,14,10,0,18,30,29,11,8,12,6,22,26,20,10,0,30,32,12,0,105,115,15,20,0,10,36,0,0,0
2207,470,99,19,20,3,16,12,15,7,16,0,4,10,4,0,27,30,20,11,18,20,86,66,79,0,0,5,27,18,0,0
2415,496,99,19,16,10,12,5,7,24,16,26,14,10,16,0,0,2,28,30,24,2,101,8,127,0,19,0,40,27,0,0
2602,516,141,4,30,0,10,8,0,16,4,31,4,12,14,2,10,10,20,20,0,18,32,81,111,16,20,18,0,34,14,0
2530,514,170,13,18,12,10,8,11,13,29,10,4,6,30,17,0,0,11,0,0,26,38,112,80,36,0,0,10,0,27,0
2527,495,180,0,8,22,0,27,22,3,0,40,18,58,0,6,10,11,11,10,10,21,6,91,21,126,5,9,0,10,20,7
3710,450,195,10,32,22,4,28,18,11,15,1,8,30,6,12,14,21,12,0,20,30,4,128,9,91,3,20,10,1,0,30
5014,428,280,4,12,28,9,0,21,1,14,20,4,20,39,34,8,28,0,0,10,0,23,4,145,121,4,10,0,0,0,24
6515,513,220,30,31,6,22,10,7,2,27,11,14,14,26,2,15,10,0,0,30,10,19,0,150,24,117,5,20,10,0,0
4970,517,204,14,10,0,38,36,10,9,10,20,0,16,26,2,32,16,12,10,10,10,0,10,142,41,93,15,0,10,0,0
5247,482,297,8,28,11,30,14,13,8,21,18,10,8,10,16,6,0,20,3,10,10,0,10,68,102,156,6,15,10,0,0
4875,463,205,8,20,21,24,24,21,27,14,10,8,12,24,8,20,19,24,2,14,16,4,0,0,138,68,50,20,0,1,0
4174,503,223,23,14,31,26,10,8,10,20,0,16,10,55,6,10,11,0,26,13,12,0,10,0,136,48,136,8,0,0,0
4603,577,170,17,14,10,22,12,8,5,6,13,20,3,6,30,18,13,0,13,4,10,15,12,20,142,58,117,18,4,0,0
5162,577,210,9,24,11,10,1,24,18,5,13,10,9,22,2,24,13,10,10,20,10,0,14,1,12,123,111,24,16,0,0
5015,726,235,12,9,8,11,20,8,6,17,19,10,3,5,18,16,22,0,10,11,6,10,40,14,12,106,75,89,0,0,0
6301,563,193,22,2,47,0,0,20,26,8,14,15,14,17,18,1,4,0,8,2,16,20,0,19,0,113,5,127,0,0,0
3260,475,181,16,5,31,9,0,4,19,15,12,7,0,11,18,14,5,0,10,0,0,17,10,4,0,62,42,135,0,1,0
1680,294,109,1,1,3,15,0,26,15,1,3,9,1,0,2,2,4,6,10,18,0,3,0,14,1,3,89,63,29,0,0
881,176,53,15,13,1,2,16,5,11,2,0,0,2,0,2,7,0,4,0,7,0,2,7,1,9,11,76,1,72,0,1
2396,294,93,6,0,11,16,1,11,20,34,12,12,5,0,10,6,15,14,10,0,0,10,34,20,20,10,103,28,19,19,0
1733,370,91,23,9,11,14,2,2,0,19,0,16,26,1,4,3,8,2,2,10,19,0,10,24,29,0,50,84,1,30,0
2171,471,95,16,40,10,0,18,10,2,10,26,8,18,7,10,3,19,0,16,10,20,10,6,7,0,10,0,133,0,13,16
2003,427,124,17,27,31,23,8,3,12,0,9,10,21,18,10,10,15,13,15,0,0,10,24,16,0,9,16,124,2,2,24
