n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32
662,731,155,45,5,7,24,16,172,4,195,0,0,6,19,15,2,30,4,7,0,4,0,7,12,0,7,13,4,0,0,0
693,378,437,9,15,0,33,21,174,16,158,12,8,6,8,0,16,41,4,12,4,6,4,16,19,1,0,3,8,0,0,0
939,452,166,28,0,4,0,0,55,136,45,171,0,13,25,0,1,57,0,18,4,5,8,4,23,10,6,0,5,6,0,1
656,676,156,56,0,23,1,6,3,199,0,160,11,34,3,6,19,39,5,8,0,3,11,1,11,0,0,4,2,12,0,0
581,413,272,152,3,5,5,24,1,144,14,134,3,13,1,4,7,25,5,17,14,0,0,21,21,6,8,1,10,0,0,0
918,382,147,18,6,0,1,5,6,86,111,170,10,12,0,1,2,57,5,0,25,0,24,0,23,6,6,20,6,4,0,0
678,593,159,106,1,0,26,2,2,7,150,12,167,8,20,0,5,25,7,10,12,4,0,4,25,6,0,11,0,9,1,0
552,361,73,26,16,6,16,1,6,8,119,1,88,12,0,0,21,49,19,16,8,4,9,4,15,9,6,17,25,0,0,0
590,68,21,5,0,6,29,24,12,0,101,8,95,28,4,2,28,37,4,24,6,6,4,0,34,0,0,10,21,0,19,0
445,63,35,22,0,8,0,26,9,0,97,16,93,4,0,19,14,33,0,23,25,0,8,4,32,6,6,30,10,0,6,0
277,18,14,0,10,3,5,5,6,0,0,13,16,1,5,5,5,7,14,0,0,5,0,15,12,0,0,9,6,0,0,0
999,339,476,18,5,10,0,0,0,12,0,160,106,58,10,0,11,33,22,0,10,0,0,0,48,58,23,22,4,2,1,10
2171,820,384,10,32,11,0,35,1,0,33,246,1,192,11,11,28,68,0,42,0,9,0,11,92,144,17,26,13,4,2,1
6529,12814,5002,23,11,10,33,12,12,11,0,161,132,198,0,50,69,83,31,0,0,11,11,22,74,51,78,22,3,2,2,4
3834,6112,2703,9,0,0,0,13,0,12,12,35,281,244,12,11,89,73,11,49,0,21,13,13,72,57,31,26,36,70,1,2
1407,599,593,12,1,18,1,0,6,7,0,13,257,133,77,22,63,64,11,5,28,0,0,0,62,29,17,21,24,45,15,3
990,531,217,10,0,0,6,10,13,0,5,0,151,102,210,0,61,44,0,6,0,12,5,0,21,34,12,13,38,23,0,0
792,602,147,4,5,5,12,24,2,0,6,0,6,219,169,24,3,36,14,11,0,5,9,0,9,8,12,28,18,14,0,1
758,341,305,9,0,23,0,0,0,9,0,4,0,165,100,12,13,50,5,0,0,6,0,6,25,1,29,21,7,0,0,0
151,29,16,5,2,1,2,6,4,0,3,0,2,2,8,0,11,6,1,4,0,2,3,0,0,11,4,5,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
