n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32
282,71,33,0,0,0,1,2,1,0,5,0,1,0,0,9,0,2,1,0,0,0,11,0,1,3,0,0,0,0,0,0
878,170,64,1,0,6,0,2,2,0,8,0,2,2,1,66,0,0,0,0,2,0,80,0,0,0,14,2,1,0,0,0
1674,342,149,0,0,8,2,10,5,1,8,4,0,4,4,0,76,0,0,0,0,3,73,2,0,1,25,6,0,0,0,0
1356,327,95,3,0,1,12,4,0,2,5,14,0,4,0,2,79,3,0,1,1,7,27,38,0,0,1,23,1,0,0,0
2194,468,121,0,1,1,14,0,6,4,5,14,2,6,2,0,116,2,0,0,0,4,4,119,0,0,1,29,7,0,0,0
1981,403,148,2,0,0,14,0,4,2,7,5,7,0,4,0,50,36,6,1,0,0,6,96,6,0,0,5,30,0,0,2
1343,270,86,1,1,2,0,6,3,4,4,2,6,0,0,0,0,69,0,4,2,1,3,49,6,0,0,0,26,0,0,1
3921,418,206,0,0,0,0,16,0,6,7,0,18,0,3,4,0,83,0,0,2,6,0,34,89,2,0,0,16,18,0,0
4447,423,204,6,0,1,0,6,6,6,3,14,8,6,0,8,3,105,0,0,0,0,4,8,112,8,0,0,1,31,0,0
4229,560,196,4,0,1,0,6,6,1,7,11,8,12,0,3,2,31,87,0,0,0,0,2,112,4,0,0,0,8,23,0
4320,524,221,8,0,0,0,0,10,4,8,6,11,10,2,0,6,0,119,0,0,0,0,0,58,44,10,0,0,1,30,0
3092,401,163,11,8,1,0,0,7,6,0,8,2,6,6,0,5,3,80,1,0,0,0,0,1,84,9,2,0,0,9,12
2130,312,133,5,4,0,0,0,12,1,3,10,3,5,2,0,1,6,35,6,0,0,2,0,0,35,3,2,2,1,0,20
2976,438,157,10,9,0,0,0,3,5,6,0,8,1,12,2,0,2,4,79,0,0,0,0,10,84,0,4,0,0,0,7
2042,313,133,3,6,0,1,0,0,5,2,2,5,0,4,6,2,0,8,56,0,0,0,0,13,19,48,9,0,0,0,0
2364,455,145,6,7,8,0,0,0,5,0,2,6,2,6,2,1,4,3,90,0,0,0,0,2,23,68,4,8,0,0,0
2761,544,145,10,6,9,2,0,0,2,2,2,9,5,0,10,4,4,1,64,30,0,0,0,0,26,96,1,14,0,0,0
1469,276,91,4,3,5,2,0,6,0,5,0,7,2,0,8,7,2,2,4,76,0,0,0,1,0,63,1,4,0,0,0
525,82,29,1,1,1,2,0,0,0,2,0,3,0,1,2,1,0,2,0,38,0,1,0,0,1,13,22,0,2,0,0
1590,323,85,0,1,13,6,0,0,6,4,2,0,14,6,2,8,5,4,0,95,0,0,0,0,0,0,112,0,0,0,0
1809,349,96,6,1,12,8,2,0,0,7,8,0,12,2,6,8,5,1,6,37,80,0,0,0,0,0,142,1,0,0,0
1497,343,59,8,3,1,5,6,2,0,0,11,0,9,4,4,6,8,0,1,0,108,0,1,0,0,0,37,44,0,0,0
1946,350,75,6,0,2,8,5,0,0,0,10,4,6,6,4,13,7,2,4,1,120,0,0,0,0,0,0,135,0,0,0
1175,247,65,5,0,1,8,8,0,1,0,0,5,13,6,0,8,5,3,0,0,52,22,0,0,0,0,0,91,16,0,0
