n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1933,362,142,6,13,0,0,8,1,1,9,0,8,4,0,17,41,37,86,18,0,0,5,7,30,18,27,12,13,2,1,0
3018,879,157,31,4,38,0,1,11,0,8,51,0,8,17,20,18,44,217,0,25,9,8,24,29,46,40,12,4,3,2,6
3094,897,262,40,7,0,23,25,0,0,9,0,0,10,0,41,21,40,232,22,8,10,14,27,32,44,24,3,4,2,4,19
2236,673,342,19,1,1,2,0,2,0,2,0,0,0,0,0,10,29,160,126,0,0,0,0,17,3,11,17,0,3,0,3
2220,971,294,1,4,1,0,0,0,0,0,0,0,0,0,0,3,29,37,270,0,0,0,0,26,4,6,30,2,3,0,2
2036,1239,270,3,5,0,0,0,3,2,0,0,0,0,0,0,20,29,0,337,0,0,0,1,18,6,6,13,17,4,4,6
1817,1341,467,6,0,2,1,0,4,3,0,1,1,0,0,0,5,31,2,350,0,0,0,0,29,5,5,5,17,2,0,8
1772,1562,157,3,0,1,0,0,1,1,0,0,0,0,0,0,31,32,0,163,216,0,0,1,23,6,0,2,8,16,1,3
1726,2016,187,1,0,0,0,0,0,1,0,0,0,0,0,0,11,31,0,0,383,0,0,0,25,3,3,3,3,22,1,3
1854,1548,490,17,2,0,15,7,10,8,46,1,9,16,1,36,8,32,0,0,407,8,35,18,21,1,19,5,0,25,43,13
1925,1315,225,29,19,0,15,11,1,10,8,16,12,0,0,33,16,47,0,13,235,113,0,23,38,23,4,11,2,9,47,5
1341,1226,165,10,2,24,2,7,1,0,8,16,0,19,5,28,32,36,2,15,46,263,8,8,11,4,10,25,20,1,12,16
1533,1518,300,13,17,0,19,3,5,0,20,0,0,0,18,13,38,18,0,0,7,410,0,38,31,11,10,3,17,3,0,25
260,201,128,0,0,11,0,0,4,11,0,0,0,0,0,2,14,1,8,18,0,81,0,0,6,0,1,1,0,1,1,11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
